# C/N/O/H reaction network based on Venot et al. (2012) with some revision
# Two-body Reactions
# id	Reactions                           	A       	B       	C
[  CH3O + C2H3 -> H2CO + C2H4     ]				  3.9900E-11  0.0000E+00  0.0000E+00 
[  CH3O + C2H4 -> H2CO + C2H5 ]				  1.9900E-13  0.0000E+00  3.3700E+03 
[  CH3O + C2H5 -> H2CO + C2H6      ]				  3.9900E-11  0.0000E+00  0.0000E+00 
[ CH3O + C2H6 ->  C2H5 + CH3OH     ]				  3.9900E-13  0.0000E+00  3.5200E+03 
[ CH3O + OH -> H2CO + H2O ]				  2.9900E-11  0.0000E+00  0.0000E+00 
[ CH3O + CO  -> CH3 + CO2      ]				  2.6600E-11  0.0000E+00  5.8800E+03 
[ CH3O + HCO -> CH3OH + CO      ]				  1.5100E-10  0.0000E+00  0.0000E+00 
[ CH3O + H2CO  -> CH3OH + HCO ]				  1.6600E-13  0.0000E+00  1.5100E+03 
[ CH3O + CH3O -> CH3OH + H2CO]				  9.9700E-11  0.0000E+00  0.0000E+00 
[  CH2OH + H -> CH3 + OH    ]				  1.5900E-10  0.0000E+00  0.0000E+00 
[  CH2OH +  H -> H2CO +  H2   ]				  9.9700E-12  0.0000E+00  0.0000E+00 
[  CH2OH +  H2 ->   CH3OH + H     ]				  1.1111E-18  2.0000E+00  6.7400E+03 
[ CH2OH + CH3 ->  C2H5OH  ]				  1.9900E-11  0.0000E+00  0.0000E+00 
[  CH2OH + CH3  ->  CH4  + H2CO    ]				  3.9900E-12  0.0000E+00  0.0000E+00 
[ CH2OH + CH4  ->  CH3OH + CH3   ]				  3.6012E-23  3.1000E+00  8.1400E+03 
[ CH2OH + C2H -> C2H2 + H2CO ]				  7.9700E-11  0.0000E+00  0.0000E+00 
[ CH2OH + C2H2 ->  C2H3 + H2CO ]				  1.2000E-12  0.0000E+00  4.5200E+03 
[ CH2OH + C2H3 -> C2H4 + H2CO   ]				  6.9800E-11  0.0000E+00  0.0000E+00 
[ CH2OH + C2H5  ->   C2H4 + CH3OH   ]				  3.9900E-12  0.0000E+00  0.0000E+00 
[ CH2OH + C2H5  -> C2H6 + H2CO   ]				  3.9900E-12  0.0000E+00  0.0000E+00 
[ CH2OH + C2H6 -> CH3OH + C2H5     ]				  3.3074E-22  3.0000E+00  7.0400E+03 
[ CH2OH + OH -> H2O + H2CO    ]				  3.9900E-11  0.0000E+00  0.0000E+00 
[  CH2OH + HCO -> CH3OH + CO     ]				  1.9900E-10  0.0000E+00  0.0000E+00 
[ CH2OH + HCO -> H2CO + H2CO  ]				  2.9900E-10  0.0000E+00  0.0000E+00 
[  CH2OH + H2CO  ->  CH3OH + HCO   ]				  9.1324E-21  2.8000E+00  2.9700E+03 
[ CH2OH  +  CH3O  -> CH3OH + H2CO ]				  3.9900E-11  0.0000E+00  0.0000E+00 
[  CH2OH + CH2OH -> CH3OH + H2CO ]				  2.3300E-11  0.0000E+00  0.0000E+00 
[ CH3OH + H ->  CH3 + H2O   ]				  3.3200E-10  0.0000E+00  2.6600E+03 
[ CH3OH + H  ->  CH3O  +  H2     ]				  6.9722E-18  2.1000E+00  2.4600E+03 
[ CH3OH + C2H ->   C2H2 + CH2OH]				  9.9700E-12  0.0000E+00  0.0000E+00 
[ CH3OH + C2H  -> C2H2 + CH3O ]				  1.9900E-12  0.0000E+00  0.0000E+00 
[ CH3OH + C2H3  -> C2H4  + CH2OH ]				  5.3026E-23  3.2000E+00  3.6200E+03 
[ CH3OH + C2H3 ->  C2H4 + CH3O    ]				  2.3869E-23  3.1000E+00  3.4700E+03 
[ CH3OH + OH -> CH2OH + H2O  ]				  5.1444E-18  2.0000E+00 -1.7100E+02 
[ CH3OH + OH -> CH3O + H2O  ]				  8.9667E-19  2.0000E+00 -1.7100E+02 
[ CH3OH + CH3O ->   CH3OH + CH2OH   ]				  4.9800E-13  0.0000E+00  2.0600E+03 
[ CHCO + OH ->  HCO + CO + H]				  1.6600E-11  0.0000E+00  0.0000E+00 
[ CH2CO + H ->  CH3 + CO]				  2.9900E-11  0.0000E+00  1.7100E+03 
[ CH2CO + H  -> CHCO + H2    ]				  8.3100E-11  0.0000E+00  4.0200E+03 
[ CH2CO +  OH  ->  CHCO + H2O ]				  1.2500E-11  0.0000E+00  1.0100E+03 
[ CH2CO + OH ->  CH3 +  CO2     ]				  4.1900E-12  0.0000E+00  0.0000E+00 
[ CH2CO +  OH -> CH2OH + CO      ]				  7.7700E-12  0.0000E+00  0.0000E+00 
[ CH3CO +  H  -> CH3 + HCO     ]				  1.5900E-10  0.0000E+00  0.0000E+00 
[ CH3CO +  OH  ->  CH2CO + H2O    ]				  1.9900E-11  0.0000E+00  0.0000E+00 
[ CH3CO + OH  -> CH3 + CO + OH  ]				  4.9800E-11  0.0000E+00  0.0000E+00 
[ CH3CO +  HCO  -> CH3CHO  + CO  ]				  1.5000E-11  0.0000E+00  0.0000E+00 
[ CH3CO + H2CO -> CH3CHO + HCO  ]				  2.9900E-13  0.0000E+00  6.4900E+03 
[ CH3CO + CH3O ->  CH3OH + CH2CO]				  9.9700E-12  0.0000E+00  0.0000E+00 
[ CH3CO + CH3O -> H2CO + CH3CHO  ]				  9.9700E-12  0.0000E+00  0.0000E+00 
[ CH3CO + CH3OH  ->  CH3CHO + CH2OH    ]				  8.0741E-21  3.0000E+00  6.1800E+03 
[ CH3CO + CH3CO -> CH2CO + CH3CHO     ]				  1.9900E-11  0.0000E+00  0.0000E+00 
[  CH3CHO +  H ->  H2 +  CH3CO ]				  6.6500E-11  0.0000E+00  2.1100E+03 
[ CH3CHO + CH3  -> CH3CO + CH4  ]				  3.3176E-30  5.6000E+00  1.2600E+03 
[ CH3CHO + C2H3  -> C2H4 +  CH3CO ]				  1.3500E-13  0.0000E+00  1.8600E+03 
[ CH3CHO + C2H5 ->  C2H6 + CH3CO  ]				  2.1600E-12  0.0000E+00  4.2700E+03 
[ CH3CHO + OH -> CH3CO +  H2O  ]				  6.9800E-12  0.0000E+00  2.5100E+02 
[ CH3CHO + CH3O -> CH3CO + CH3OH  ]				  3.9900E-13  0.0000E+00  9.0500E+02 
[ CH3CHO + CH2CHO -> CH3CHO + CH3CO   ]				  4.1500E-17  0.0000E+00  0.0000E+00 
[  cC2H4O + H -> H2 + CH2CHO ]				  3.3200E-11  0.0000E+00  4.1700E+03 
[ cC2H4O + H  -> H2O + C2H3     ]				  8.3100E-15  0.0000E+00  2.5100E+03 
[ cC2H4O +  H  ->  C2H4  +  OH   ]				  1.5800E-13  0.0000E+00  2.5100E+03 
[ cC2H4O + CH3 -> CH4 + CH2CHO   ]				  1.8300E-12  0.0000E+00  5.9300E+03 
[ cC2H4O + CH3 -> C2H5 + H2CO      ]				  2.3300E-13  0.0000E+00  3.8200E+03 
[ cC2H4O + CH3 ->  C2H4 +  CH3O   ]				  2.4900E-14  0.0000E+00  3.8200E+03 
[ cC2H4O + C2H -> C2H2 + CH2CHO   ]				  1.9900E-12  0.0000E+00  4.9300E+03 
[ cC2H4O + C2H3 ->  C2H4 + CH2CHO  ]				  3.3200E-12  0.0000E+00  4.6800E+03 
[ cC2H4O + C2H5 -> C2H6 + CH2CHO ]				  1.1300E-12  0.0000E+00  5.7300E+03 
[ cC2H4O + OH -> H2O + CH2CHO   ]				  2.9900E-11  0.0000E+00  1.8100E+03 
[ cC2H4O + HCO -> H2CO +  CH2CHO   ]				  6.1500E-12  0.0000E+00  7.9400E+03 
[ cC2H4O + CH3O -> CH3OH + CH2CHO    ]				  2.1600E-12  0.0000E+00  2.9200E+03 
[  cC2H4O + CH2OH -> CH3OH + CH2CHO  ]				  1.4000E-12  0.0000E+00  6.7400E+03 
[ cC2H4O + CH3CO  -> CH3CHO + CH2CHO]				  6.6500E-12  0.0000E+00  8.8000E+03 
[ cC2H4O + CH2CHO -> CH3CHO + CH2CHO   ]				  1.1300E-12  0.0000E+00  7.7400E+03 
[ 2C2H4OH + O2  -> CH3CHO + OOH  ]				  2.6600E-12  0.0000E+00  2.5100E+03 
[ 1C2H4OH + H -> CH3CHO + H2  ]				  3.3200E-11  0.0000E+00  0.0000E+00 
[  1C2H4OH + OH  -> CH3CHO + H2O  ]				  2.4900E-11  0.0000E+00  0.0000E+00 
[ C2H5OH + O2 ->  2C2H4OH + OOH   ]				  6.6500E-11  0.0000E+00  2.5600E+04 
[ C2H5OH + O2 -> 1C2H4OH + OOH   ]				  6.6500E-11  0.0000E+00  2.5700E+04 
[ C2H5OH + OH -> 2C2H4OH + H2O   ]				  4.2532E-18  2.0600E+00  4.3200E+02 
[ C2H5OH + OH -> 1C2H4OH + H2O  ]				  4.9800E-11  0.0000E+00  3.0000E+03 
[  C2H5OH + H  ->  1C2H4OH + H2  ]				  7.3100E-12  0.0000E+00  2.3000E+03 
[ C2H5OH + OOH ->  1C2H4OH + H2O2   ]				  3.3200E-11  0.0000E+00  8.5500E+03 
[ C2H5OH + CH3  ->  1C2H4OH + CH4    ]				  6.6500E-13  0.0000E+00  4.8800E+03 
[  C2H5OH + CH3  -> 2C2H4OH + CH4 ]				  4.9877E-24  4.0000E+00  5.2700E+03 
[  C2H5OH + H  ->  2C2H4OH    H2  ]				  3.3200E-12  0.0000E+00  4.7800E+03 
[ C2H5OH + C2H5 -> 2C2H4OH + C2H6  ]				  2.4900E-12  0.0000E+00  5.8800E+03 
[ C2H5OH + C2H5 ->  1C2H4OH + C2H6    ]				  6.6500E-11  0.0000E+00  5.0300E+03 
[ C2H5OH + CH2OH -> 1C2H4OH + CH3OH ]				  6.6500E-13  0.0000E+00  4.8800E+03 
[ C2H5OH + CH3O -> 1C2H4OH + CH3OH  ]				  3.3200E-13  0.0000E+00  3.5200E+03 
[ C2H5OH + C2H5O -> C2H5OH + 1C2H4OH  ]				  3.3200E-13  0.0000E+00  3.5200E+03 
[ O2 + CH ->  CO + OH ]				  5.3200E-11  0.0000E+00  0.0000E+00 
[  O2 + CH3 -> H2CO + OH]				  4.9760E+06 -4.6900E+00  1.8400E+04 
[ O2 + CH4  -> CH3 + OOH ]				  6.6500E-11  0.0000E+00  2.8500E+04 
[ O2 + C2H  ->  CO + HCO ]				  6.3017E-11 -1.6000E-01  0.0000E+00 
[ O2 + C2H2 -> C2H + OOH   ]				  1.9900E-11  0.0000E+00  3.7500E+04 
[ O2 + C2H2 -> HCO + HCO]				  1.1647E-16  1.8000E+00  1.5400E+04 
[ O2 + C2H3 ->  C2H2 + OOH]				  2.2299E-18  1.6100E+00 -2.0100E+02 
[ O2 + C2H3 -> H2CO + HCO  ]				  7.4636E-08 -1.3900E+00  5.0300E+02 
[ O2 + C2H4 ->  C2H3 + OOH   ]				  6.9800E-11  0.0000E+00  2.8900E+04 
[ O2 + C2H5 -> C2H5OO ]				  3.6512E-14  7.7000E-01 -3.0200E+02 
[ O2 +  C2H5 ->  C2H4 + OOH  ]				  1.4000E-12  0.0000E+00  1.9600E+03 
[ O2 + C2H5 -> CH3CHO + OH  ]				  9.9700E-14  0.0000E+00  3.4700E+03 
[ O2 + C2H6 -> C2H5 + OOH ]				  9.9700E-11  0.0000E+00  2.6000E+04 
[ O2 + HCO -> CO + OOH]				  1.2600E-11  0.0000E+00  2.0600E+02 
[  O2 + H2CO -> HCO + OOH  ]				  3.3200E-11  0.0000E+00  1.9500E+04 
[ O2 + CH3O ->  H2CO + OOH  ]				  3.6500E-14  0.0000E+00  8.5500E+02 
[ O2 + CH2OH -> H2CO + OOH   ]				  1.9900E-12  0.0000E+00  0.0000E+00 
[ O2 + CH3OH -> CH2OH + OOH  ]				  3.3200E-11  0.0000E+00  2.2600E+04 
[ O2 + CHCO -> CO + CO + OH  ]				  2.4900E-12  0.0000E+00  1.2600E+03 
[ O2 + CH3CO  -> CH3COOO ]				  3.9900E-12  0.0000E+00  0.0000E+00 
[ O2 + CH2CHO -> H2CO + OH + CO]				  9.8000E-15  0.0000E+00 -7.0400E+02 
[ O2 + CH2CHO -> CH2CO + OOH ]				  1.6600E-14  0.0000E+00 -7.0400E+02 
[ O2 + CH3CHO -> CH3CO + OOH  ]				  8.3100E-11  0.0000E+00  1.8300E+04 
[ O2 + CH3CHO ->  CH2CHO + OOH ]				  1.6628E-11  5.0000E-01  2.3100E+04 
[ O2 + cC2H4O -> OOH + CH2CHO  ]				  8.3100E-11  0.0000E+00  2.4100E+04 
[ O2 + C2H5O  -> CH3CHO + OOH  ]				  9.9700E-14  0.0000E+00  8.5500E+02 
[  OOH + H ->  H2 + O2 ]				  7.1400E-11  0.0000E+00  7.0400E+02 
[ OOH + H  -> OH + OH  ]				  2.8200E-10  0.0000E+00  4.5200E+02 
[ OOH + CH3 -> CH3O + OH    ]				  2.9900E-11  0.0000E+00  0.0000E+00 
[ OOH + CH4 -> CH3 + H2O2    ]				  1.5000E-11  0.0000E+00  1.2400E+04 
[ OOH + C2H -> CHCO + OH  ]				  2.9900E-11  0.0000E+00  0.0000E+00 
[ OOH + C2H2 -> CH2CO + OH]				  9.9700E-15  0.0000E+00  4.0200E+03 
[ OOH + C2H3 ->  OH + CH3 + CO  ]				  4.9800E-11  0.0000E+00  0.0000E+00 
[ OOH + C2H4 ->  CH3CHO + OH  ]				  9.9700E-15  0.0000E+00  3.9700E+03 
[ OOH + C2H4 ->  cC2H4O + OH ]				  3.6500E-12  0.0000E+00  8.6500E+03 
[ OOH + C2H5  ->  CH3 + H2CO + OH]				  3.9900E-11  0.0000E+00  0.0000E+00 
[ OOH + C2H5 ->  C2H4 + H2O2]				  4.9800E-13  0.0000E+00  0.0000E+00 
[ OOH + C2H6 -> C2H5 + H2O2]				  2.1600E-11  0.0000E+00  1.0300E+04 
[ OOH + OH  -> H2O +  O2]				  4.8200E-11  0.0000E+00 -2.5100E+02 
[  OOH + CO -> CO2 + OH]				  2.4900E-10  0.0000E+00  1.1900E+04 
[ OOH + HCO -> OH + H + CO2]				  4.9800E-11  0.0000E+00  0.0000E+00 
[ OOH + H2CO -> HCO + H2O2]				  4.9800E-12  0.0000E+00  6.5400E+03 
[ OOH + CH3O -> H2CO + H2O2    ]				  4.9800E-13  0.0000E+00  0.0000E+00 
[ OOH + CH2OH -> H2CO + H2O2  ]				  1.9900E-11  0.0000E+00  0.0000E+00 
[ OOH + CH3OH -> CH2OH + H2O2   ]				  1.6000E-13  0.0000E+00  6.3400E+03 
[ OOH + CH3CO  ->  CH3 + CO2 + OH]				  4.9800E-11  0.0000E+00  0.0000E+00 
[ OOH + CH3CHO -> CH3CO + H2O2 ]				  1.6600E-12  0.0000E+00  5.0300E+03 
[ OOH + cC2H4O -> H2O2 + CH2CHO  ]				  2.6600E-12  0.0000E+00  7.5400E+03 
[ OOH + OOH -> H2O2 +  O2  ]				  2.1600E-13  0.0000E+00 -8.2000E+02) 
[ H2O2 + H  -> H2 + OOH ]				  2.8200E-12  0.0000E+00  1.8600E+03 
[ H2O2 +  H  -> H2O +  OH  ]				  1.6600E-11  0.0000E+00  1.8100E+03 
[ H2O2 + C2H3 -> C2H4 + OOH ]				  1.9900E-14  0.0000E+00 -3.0200E+02 
[ H2O2 + OH -> H2O + OOH  ]				  1.3000E-11  0.0000E+00  6.5400E+02 
[ CH3OO + H -> CH3O + OH  ]				  1.5900E-10  0.0000E+00  0.0000E+00 
[  CH3OO + H2 -> CH3OOH + H   ]				  4.9800E-11  0.0000E+00  1.3100E+04 
[ CH3OO + CH3 -> CH3O + CH3O   ]				  8.3100E-12  0.0000E+00 -7.0400E+02 
[ CH3OO + CH4 -> CH3OOH + CH3  ]				  2.9900E-13  0.0000E+00  9.3000E+03 
[ CH3OO + C2H -> CH3O + CHCO ]				  3.9900E-11  0.0000E+00  0.0000E+00 
[ CH3OO + C2H2 ->  CH3OOH  + C2H ]				  9.3000E-13  0.0000E+00  1.2300E+04 
[ CH3OO + C2H3 ->  CH3O +  CH2CHO  ]				  3.9900E-11  0.0000E+00  0.0000E+00 
[ CH3OO + C2H4 -> CH3O + cC2H4O   ]				  1.8300E-09  0.0000E+00  1.0100E+04 
[ CH3OO + C2H4  -> CH3OOH + C2H3    ]				  6.4800E-12  0.0000E+00  1.2300E+04 
[ CH3OO + C2H5 ->  CH3O + C2H5O  ]				  3.9900E-11  0.0000E+00  0.0000E+00 
[ CH3OO + C2H6 ->  CH3OOH + C2H5 ]				  4.8200E-13  0.0000E+00  7.4900E+03 
[ CH3OO + OH  ->  CH3OH + O2 ]				  9.9700E-11  0.0000E+00  0.0000E+00 
[ CH3OO + OH -> CH3O + OOH   ]				  4.9800E-12  0.0000E+00  0.0000E+00 
[ CH3OO + CO -> CH3O + CO2 ]				  1.6600E-10  0.0000E+00  1.2100E+04 
[ CH3OO + HCO -> CH3O + H + CO2  ]				  4.9800E-11  0.0000E+00  0.0000E+00 
[ CH3OO + H2CO -> CH3OOH + HCO]				  1.6600E-12  0.0000E+00  6.0800E+03 
[ CH3OO + CH3O ->  H2CO + CH3OOH ]				  4.9800E-13  0.0000E+00  0.0000E+00 
[ CH3OO + CH2OH ->  CH3O + OH + H2CO   ]				  1.9900E-11  0.0000E+00  0.0000E+00 
[ CH3OO + CH3OH -> CH3OOH + CH2OH ]				  2.9900E-12  0.0000E+00  6.8900E+03 
[ CH3OO + CH3OH -> CH3OOH + CH3O ]				  4.6500E-13  0.0000E+00  9.4500E+03 
[ CH3OO + CH2CO -> CH3OOH + CHCO ]				  2.8200E-12  0.0000E+00  1.3600E+04 
[ CH3OO + CH3CO -> CH3 + CO2 + CH3O]				  3.9900E-11  0.0000E+00  0.0000E+00 
[ CH3OO + CH3CHO ->  CH3OOH + CH3CO]				  1.6600E-12  0.0000E+00  6.0800E+03 
[ CH3OO + CH3CHO -> CH3OOH + CH2CHO]				  2.8200E-12  0.0000E+00  9.6500E+03 
[ CH3OO + cC2H4O -> CH3OOH + CH2CHO]				  3.6500E-12  0.0000E+00  8.0400E+03 
[ CH3OO + OOH -> CH3OOH + O2]				  4.1500E-13  0.0000E+00 -8.0400E+02 
[ CH3OO + OOH  -> O2 + H2CO + H2O ]				  8.3100E-14  0.0000E+00  0.0000E+00 
[ CH3OO + H2O2  -> CH3OOH + OOH ]				  3.9900E-12  0.0000E+00  4.9800E+03 
[ CH3OO + CH3OO -> CH3OH + H2CO + O2]				  4.1500E-14  0.0000E+00 -4.0200E+02 
[ CH3OO + CH3OO -> CH3O + CH3O + O2 ]				  4.1500E-14  0.0000E+00 -4.0200E+02 
[ CH3OOH + OH ->  H2O + CH3OO   ]				  2.9900E-12  0.0000E+00 -1.8600E+02 
[  CH3OOH + CH3O -> CH3OH + OH + H2CO  ]				  2.4900E-13  0.0000E+00  3.2700E+03 
[ C2H5OO + H2 -> C2H5OOH + H]				  1.3100E-11  0.0000E+00  1.0600E+04 
[ C2H5OO + CH3 -> C2H5O + CH3O ]				  3.3200E-12  0.0000E+00 -6.0300E+02 
[ C2H5OO + CH4 -> C2H5OOH  + CH3   ]				  6.4800E-12  0.0000E+00  1.2100E+04 
[ C2H5OO + C2H2 ->  C2H5OOH  + C2H]				  9.3000E-13  0.0000E+00  1.2300E+04 
[ C2H5OO + C2H4 ->  C2H5OOH + C2H3 ]				  6.4800E-12  0.0000E+00  1.2300E+04 
[ C2H5OO + C2H4  ->  C2H5O + cC2H4O]				  3.8200E-08  0.0000E+00  1.1000E+04 
[  C2H5OO + C2H6 -> C2H5OOH + C2H5 ]				  8.4700E-12  0.0000E+00  9.8000E+03 
[ C2H5OO + H2O ->  C2H5OOH + OH    ]				  9.3000E-12  0.0000E+00  1.5400E+04 
[ C2H5OO + CO ->  CO2 +  C2H5O  ]				  1.6600E-10  0.0000E+00  1.2100E+04 
[ C2H5OO + H2CO ->  C2H5OOH + HCO ]				  7.4800E-12  0.0000E+00  7.2400E+03 
[ C2H5OO + CH3OH ->  C2H5OOH + CH3O   ]				  4.6500E-13  0.0000E+00  9.2500E+03 
[ C2H5OO + CH3OH -> C2H5OOH + CH2OH]				  4.6500E-12  0.0000E+00  9.8000E+03 
[  C2H5OO  + CH2CO -> C2H5OOH + CHCO ]				  2.8200E-12  0.0000E+00  1.2300E+04 
[ C2H5OO + CH3CHO -> C2H5OOH + CH3CO  ]				  6.4800E-12  0.0000E+00  7.2400E+03 
[ C2H5OO + CH3CHO  ->  C2H5OOH + CH2CHO ]				  2.8200E-12  0.0000E+00  9.8000E+03 
[ C2H5OO + cC2H4O -> C2H5OOH + CH2CHO ]				  3.6500E-12  0.0000E+00  8.2000E+03 
[ C2H5OO + OOH ->  O2 + C2H5OOH]				  6.4800E-13  0.0000E+00 -6.5400E+02 
[ C2H5OO + H2O2 -> C2H5OOH + OOH ]				  7.4700E-13  0.0000E+00  5.4300E+03 
[ C2H5OO + CH3OO ->  C2H5O +  CH3O + O2]				  3.3200E-13  0.0000E+00  0.0000E+00 
[ C2H5OO + CH3OOH -> C2H5OOH + CH3OO]				  1.8300E-12  0.0000E+00  8.2000E+03 
[ C2H5OO + C2H5OO -> C2H5O + C2H5O + O2 ]				  6.8100E-14  0.0000E+00  1.0100E+02 
[ C2H5OO + C2H5OO  -> C2H5OH + CH3CHO + O2  ]				  2.9900E-14  0.0000E+00  1.0100E+02 
[ C2H5OOH + H  -> CH3CHO + OH + H2  ]				  5.3200E-11  0.0000E+00  3.8700E+03 
